取樣日期,組號,施工部位,X1,X2,X3,X4,X5,X6
6/5,1,A1~P1橋底版(1),640,668,633,,,
6/5,2,A1~P1橋底版(2),699,717,702,,,
6/5,3,A1~P1橋底版(3),694,725,710,,,
6/18,4,A1-P1橋面版(1),733,705,721,,,
6/18,5,A1-P1橋面版(2),800,781,809,,,
6/18,6,A1-P1橋面版(3),722,702,669,,,
8/7,7,P1~P2橋墩底板牆(1),716,723,716,,,
8/7,8,P1~P2橋墩底板牆(2),719,740,699,,,
8/17,9,P1~P2橋墩(頂板)(橋面版)(1),608,735,703,,,
8/17,10,P1~P2橋墩(頂板)(橋面版)(2),709,690,703,,,
9/19,11,P2~P3橋底板(1),679,695,743,,,
9/19,12,P2~P3橋底板(2),646,644,624,,,
9/26,13,P2~P3橋面版(頂版)(1),609,567,618,,,
9/26,14,P2~P3橋面版(頂版)(2),615,622,599,,,
10/30,15,P4中隔梁底版,633,610,583,,,
11/13,16,P4主橋中隔梁(17.18~20.21)(1),669,660,645,,,
11/13,17,P4主橋中隔梁(17.18~20.21)(2),670,641,695,,,
11/28,18,P4主橋頂部(17.18~20.21)(1),645,758,743,,,
11/28,19,P4主橋頂部(17.18~20.21)(2),623,730,548,,,
11/28,20,P4主橋頂部(17.18~20.21)(二級),718,625,636,,,
12/27,21,P5柱頭(48~49、51~52)節塊底版,676,701,717,,,
1/6,22,16~17、21~22節塊澆置(牆、版)(1),645,673,572,,,
1/6,23,16~17、21~22節塊澆置(牆、版)(2),783,763,713,,,
1/11,24,P5主橋中隔梁(1),727,722,747,,,
1/11,25,P5主橋中隔梁(2),745,691,686,,,
1/23,26,P5中隔樑及48~49、51~52節點頂版(1),643,642,679,,,
1/23,27,P5中隔樑及48~49、51~52節點頂版(2),633,617,618,,,
2/10,28,主橋15~16、22~23節塊(1),723,810,796,,,
2/10,29,主橋15~16、22~23節塊(2),754,720,761,,,
2/25,30,主橋14~15、23~24節塊(二級),762,696,696,,,
2/25,31,主橋14~15、23~24節塊(1),755,717,767,,,
2/25,32,主橋14~15、23~24節塊(2),690,736,697,,,
3/8,33,P5主橋47~48、52~53節塊(1),827,796,844,,,
3/8,34,P5主橋47~48、52~53節塊(2),806,721,745,,,
3/12,35,P4主橋14~13、24~25節塊,786,760,726,,,
3/21,36,P5主橋46~47、53~54節塊(1),691,723,710,,,
3/21,37,P5主橋46~47、53~54節塊(2),731,738,725,,,
3/24,38,主橋(P4)12~13、25~26節塊,758,777,655,,,
3/31,39,主橋(P5)45~46、54~55節塊,771,811,800,,,
4/7,40,主橋(P4)11~12、26~27節塊,721,735,754,,,
4/11,41,主橋(P5)44~45、55~56節塊,649,652,655,,,
4/18,42,主橋(P4)10~11、27 #7節塊(1),638,612,655,,,
4/18,43,主橋(P4)10~11、27 #7節塊(2),615,641,630,,,
4/22,44,主橋(P5)43~44、56~57節塊,678,647,675,,,
4/29,45,主橋09~10、28~29節塊(1),638,649,634,,,
4/29,46,主橋09~10、28~29節塊(2),654,697,685,,,
5/8,47,主橋(P5)#6 42~43、57~58節塊,744,761,739,,,
5/8,48,主橋(P5)#6 42~43、57~58節塊(二級),743,728,734,,,
5/12,49,主橋(P4)#9 08~09、29~30節塊,728,742,755,,,
5/21,50,主橋(P5)#7 58~59、41~42節塊(1),662,708,690,,,
5/21,51,主橋(P5)#7 58~59、41~42節塊(2),650,699,701,,,
